event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX gives ___ one,"[""none"", ""receives gift"", ""thanks PersonX"", ""smiles"", ""takes change""]","[""happy"", ""grateful"", ""none""]","[""none""]","[""nice"", ""generous"", ""generous"", ""unmindful"", ""inattentive""]","[""PersonX has fewer resources"", ""PersonX has fewer items to give away"", ""shakes PersonY's hand"", ""leaves the room"", ""smiles"", ""makes change""]","[""to helpful"", ""to share"", ""to share""]","[""to collect the previous one"", ""to check the old one""]","[""altruistic"", ""giving"", ""generous""]","[""to get a new one"", ""to safe the new one""]","[""gives"", ""one""]",trn
PersonX gives ___ some advice,"[""gets helped"", ""has something good happen"", ""changes life"", ""has a realization""]","[""grateful"", ""cared for"", ""thankful""]","[""to thank PersonX"", ""to deny the advice"", ""none""]","[""responsible"", ""paternal"", ""helpful"", ""wise"", ""helpful"", ""knowledgable""]","[""is nice"", ""is helpful"", ""none""]","[""to help out"", ""to be helpful"", ""to help""]","[""to approach someone"", ""to think of what to say"", ""to listen to a story"", ""to have experience"", ""to have been asked for advise""]","[""generous"", ""accomplished"", ""concerned"", ""kind""]","[""to ask questions"", ""to get feedback"", ""to give advice to others"", ""to give more advice to PersonY"", ""to help"", ""to show examples"", ""to follow up""]","[""gives"", ""advice""]",trn
PersonX gives ___ some medicine,"[""goes to bed"", ""takes medicine"", ""is cured"", ""can function again"", ""none""]","[""cured if they took the medicine."", ""happy if person is someone they know cured by the medicine."", ""could feel bad if they did not like person."", ""better"", ""thankful, grateful""]","[""to rest"", ""to get better"", ""to feel better"", ""to take someone to help sleep"", ""none""]","[""motherly"", ""nurturing"", ""Concerned"", ""Successful"", ""important"", ""helpful""]","[""calls the doctor"", ""soothes someone"", ""none"", ""thanked"", ""get money""]","[""person to feel better."", ""to cure person as x is a doctor."", ""useful"", ""someone to get better.""]","[""to know they are sick"", ""to have medicine"", ""none"", ""to be a pharmacist"", ""to be a doctor"", ""to know what is wrong"", ""to ask questions""]","[""happy that person will be getting better."", ""glad that he is a doctor and able to help sick people."", ""relieved"", ""hopeful, helpful.""]","[""to make them rest"", ""to see them get better"", ""to put them to sleep"", ""to make them feel better"", ""to order some more more medicine"", ""to ask others how they are feeling"", ""to give the instructions on how to take the medicine""]","[""gives"", ""medicine""]",trn
PersonX gives ___ some milk,"[""drinks the milk"", ""becomes grateful to PersonX""]","[""none"", ""grateful"", ""grateful""]","[""to drink the milk"", ""to be happy"", ""none"", ""none""]","[""helpful"", ""generous"", ""nurturing"", ""helpful"", ""kind"", ""giving""]","[""gets thanked"", ""gets appreciated""]","[""to satisfy its hunger"", ""to nurture someone"", ""to take care of them"", ""to be nice""]","[""to grab milk"", ""to pour milk into glass/bowl"", ""to have milk"", ""to put some sugar in the milk"", ""Pour milk"", ""Get bowl""]","[""contented"", ""giving"", ""good about themselves""]","[""cat to be happy"", ""to put milk back in fridge"", ""to put them to sleep"", ""to wash the cup"", ""to put the milk away"", ""to get some more milk"", ""Pet the kitty"", ""Put milk back in fridge""]","[""gives"", ""milk""]",dev
PersonX gives ___ some money,"[""none"", ""smiles"", ""thanks Person X""]","[""happy"", ""grateful"", ""grateful""]","[""none"", ""none"", ""to say thank you"", ""to repay the money""]","[""sympathetic"", ""accomodating"", ""caring"", ""kind"", ""generous"", ""benevolent""]","[""receives gratitude for the money"", ""no effect"", ""smiles""]","[""to help the needy"", ""to help out"", ""to be helpful""]","[""He walks down the road."", ""Sees him there with a sign."", ""to have enough change"", ""to be walking downtown"", ""none""]","[""great"", ""happy"", ""generous"", ""good""]","[""Gives him some money."", ""He prays for him."", ""to help the community"", ""to do volunteer work of feeding the poor"", ""to help out in the soup kitchen"", ""to wait to be paid back"", ""to balance their checkbook""]","[""gives"", ""money""]",trn
PersonX gives ___ some pills,"[""none"", ""Feels better"", ""Does not improve"", ""witnesses symptoms leave"", ""pays"", ""swallows""]","[""grateful"", ""relief"", ""grateful""]","[""to swallow the meds"", ""to wait for relief"", ""to thank person x"", ""to take the pills""]","[""Prescribing"", ""Caring"", ""helpful"", ""caring""]","[""watches to see what happens"", ""gives some water"", ""Monitors progress"", ""Calls doctor again"", ""sells"", ""earns money"", ""medicates""]","[""them to feel better"", ""to be helpful"", ""to help"", ""them to be healthy""]","[""to open the pill bottle"", ""to get water"", ""to buy some pills"", ""to go to the store""]","[""hopeful"", ""hopeful"", ""sympathetic"", ""glad they are healthy"", ""responsible""]","[""to watch for side effects"", ""to keep a medication schedule"", ""to help person y"", ""to give person y some comfort""]","[""gives"", ""pills""]",dev
PersonX gives ___ the benefit of the doubt,"[""talk"", ""appear confident""]","[""trusted"", ""none"", ""trustworthy""]","[""to see what PersonX will do next"", ""to hope PersonX does better next time"", ""none"", ""to make a good impression"", ""to manipulate PersonX""]","[""trusting"", ""motivated"", ""generous"", ""forgiving"", ""brave"", ""sure of themselves"", ""considerate"", ""patient""]","[""is nice"", ""smiles""]","[""to be trusting"", ""see the good in people"", ""to trust person""]","[""to be a good person"", ""to be ethical"", ""To have involved in crime"", ""To be a judge"", ""to be nice"", ""to have had a bad experience""]","[""trusting"", ""nervous that he is wrong"", ""trusting""]","[""to not make the same mistake"", ""to get better"", ""To publish verdict"", ""To give justice"", ""to get over it"", ""to have confidence in his friend""]","[""gives"", ""benefit""]",trn
PersonX gives ___ the money,"[""Spends the money"", ""Repays the money"", ""does task"", ""takes money"", ""has to thank the other person"", ""obtains money""]","[""grateful"", ""happy"", ""relieved""]","[""to get the money"", ""to do the chores"", ""to leave the restraunt"", ""to go see a movie"", ""spend the money"", ""look for more money to acquire""]","[""generous"", ""helpful"", ""generous"", ""charitable"", ""charitable"", ""nice""]","[""Get repaid the money"", ""Get work doen for them by Y"", ""loses money"", ""does deal"", ""loses money"", ""has a debt off the books""]","[""to help"", ""to return the money back to y"", ""to pay him back""]","[""to have money"", ""to be with the recipient"", ""to take their order"", ""to get their meal"", ""acquire money to give"", ""have a reason to give the money""]","[""good"", ""great"", ""nice"", ""responsible""]","[""get what he paid for"", ""to chill"", ""to get a gratuity"", ""to help someone else"", ""acquire more money"", ""give more money to different people""]","[""gives"", ""money""]",trn
PersonX gives ___ the opportunity,"[""none"", ""shoulder a responsibility"", ""are given a burden or responsibility""]","[""happy"", ""grateful""]","[""none"", ""to take advantage"", ""to be a success"", ""to make sure everything goes smoothly"", ""to gain some authority""]","[""charitable"", ""generous"", ""considerate"", ""determined"", ""commanding"", ""dominant"", ""generous""]","[""gets a compliment"", ""gets thanked"", ""has a task completed for him by others"", ""is relieved of responsibilty of doing task himself""]","[""give people the opportunity"", ""to help someone out""]","[""to talk to them"", ""to check if they can help them"", ""none"", ""to have the authority"", ""to determine the responsibility""]","[""knowledgable"", ""gracious""]","[""to help them"", ""to let them appreciate the opportunity"", ""to be generous"", ""to help others succeed"", ""to make sure everything goes smoothly"", ""to give away some authority""]","[""gives"", ""opportunity""]",trn
PersonX gives ___ the right,"[""none"", ""none"", ""none""]","[""liberated"", ""free"", ""grateful""]","[""none"", ""to celebrate their new rights"", ""to tell their families"", ""to show love"", ""to abey the boss""]","[""powerful"", ""confident"", ""powerful"", ""influential"", ""helpful"", ""tolerant"", ""kind""]","[""gets an award"", ""gets applause"", ""none"", ""PersonX tells is like it is"", ""PersonX tells the truth""]","[""to feel generous"", ""to be liked"", ""to be fair""]","[""to have authority"", ""to share"", ""to discuss the options"", ""to research the options"", ""to plan"", ""to announce""]","[""generous"", ""kind"", ""responsible""]","[""to show faithfulness"", ""to demonstrate generosity"", ""to enjoy the workers having more benefits"", ""to feel like a good person"", ""to get more yield"", ""to gain profit""]","[""gives"", ""right""]",trn
PersonX gives ___ time,"[""none""]","[""thankful"", ""thankful"", ""like they have time to get things together""]","[""none"", ""none"", ""none""]","[""Lawyer"", ""Fair"", ""controlling"", ""powerful"", ""kind"", ""considerate""]","[""none""]","[""to be patient"", ""to help out"", ""them to get there stuff together""]","[""none"", ""none"", ""none""]","[""patient"", ""generous"", ""like they are doing the right thing""]","[""take"", ""report"", ""keep track"", ""to show patience"", ""to deliberate first"", ""to practise patience"", ""respect all people""]","[""gives"", ""time""]",trn
PersonX gives ___ tips,"[""none""]","[""appreciative"", ""thankful"", ""grateful"", ""thankful""]","[""learn from his tips"", ""to make one themself"", ""to express gratitude"", ""to be thankful"", ""to thank them"", ""think about it""]","[""gracious"", ""giving"", ""helpful"", ""generous"", ""Advising"", ""Helpful""]","[""PersonX fails"", ""PersonX gets a thank you note""]","[""to do a good deed."", ""to help"", ""to be helpful"", ""to assist""]","[""learn about it"", ""to learn how to communicate it"", ""none"", ""none""]","[""pleased"", ""good"", ""helpful"", ""positive""]","[""to learn more"", ""to see if it helped"", ""to have conversation"", ""to share his knowledge"", ""to talk some more"", ""get going""]","[""gives"", ""tips""]",trn
PersonX gives ___ to PersonX's brother,"[""receive something"", ""can take something"", ""smiles"", ""hug"", ""get the flu from their sibling"", ""express gratitude for a gift""]","[""happy"", ""happy.""]","[""to thank PersonX for the gift of the toy"", ""to \""pay it forward\"" and do something nice for someone else"", ""to thank PersonX"", ""take care of the toy"", ""say thank you"", ""return the favor"", ""To thank PersonX"", ""To give the thing to his brother""]","[""generous"", ""nice"", ""generous"", ""thoughtful"", ""generous"", ""kind"", ""generous"", ""helpful""]","[""loses something"", ""shares something"", ""none"", ""improves their relationship with their brother"", ""worsens their relationship with their brother""]","[""to give a toy to the brother"", ""to be nice.""]","[""to decide they no longer need the toy that they would like to give to their brother"", ""to decide whether to keep their giving of the toy anonymous, or not"", ""buy the toy"", ""wrap it with wrapping paper"", ""have something to give"", ""decide to give something"", ""none""]","[""proud"", ""good.""]","[""to see their brother pleased with the gift of the toy"", ""to something for someone else, because it makes them feel better"", ""throw away the wrapping paper"", ""help PersonY use the toy"", ""receive thanks"", ""be acknowledged"", ""To meet Person Y's brother"", ""To de-clutter""]","[""gives"", ""brother""]",trn
PersonX gives ___ to PersonX's friend,"[""becomes thrilled"", ""gives him a hug"", ""feels indebted"", ""gets engaged in conversation""]","[""grateful"", ""grateful"", ""happy""]","[""to try the key"", ""open the present"", ""to give a gift back"", ""say thank you""]","[""generous"", ""giving"", ""generous"", ""thoughtful""]","[""wraps the present"", ""buys a card"", ""parts ways"", ""gets engaged in conversation"", ""gets thanked""]","[""to share"", ""to help someone"", ""to show affection""]","[""to make a copy of the key"", ""to wrap the gift"", ""find a gift to give"", ""find friend""]","[""generous"", ""helpful"", ""happy"", ""friendly""]","[""go out to eat"", ""help their friend test the key"", ""buy the same thing for themselves"", ""save up to buy another gift""]","[""gives"", ""friend""]",dev
PersonX gives ___ to PersonX's friends,"[""none"", ""none"", ""has accumulated something"", ""is filled with gratitude""]","[""good"", ""happy"", ""happy"", ""overwhelmed by their friend's generosity.""]","[""to thank PersonX"", ""to show appreciation"", ""to thank PersonX"", ""to tell Personx what else they want""]","[""Remorseful"", ""Talking"", ""giving"", ""sharing""]","[""is thanked"", ""sees smiles"", ""is thanked"", ""earns new friends"", ""is thanked"", ""is left without something""]","[""social"", ""giving"", ""friendly, nice"", ""them to have gifts before winter break.""]","[""buy presents"", ""pay for the presents"", ""to find it"", ""to bring it to their friends""]","[""happy"", ""warm"", ""happy"", ""joyful for the christmas season.""]","[""to give out souvenirs from his last trip"", ""to be generous"", ""to see what their friends think about it"", ""to ask their friends what else they want""]","[""gives"", ""friends""]",trn
PersonX gives ___ to PersonX's grandmother,"[""PersonX's grandmother smiles"", ""PersonX's grandmother thanks PersonX"", ""enjoy's the gift"", ""is appreciative of personX"", ""none""]","[""happy"", ""loved""]","[""grandma gets happy"", ""grandma blessed PersonX"", ""to accept it"", ""to return the favor""]","[""kind"", ""thoughtful"", ""sympathetic"", ""altruistic"", ""Kind"", ""Charitable"", ""Sweet"", ""Loving""]","[""smiles"", ""says you're welcome"", ""hopes she likes them"", ""get's thanked"", ""PersonX gets a hug from their grandmother"", ""PersonX receives a thank you""]","[""to be nice"", ""to give grandma some food""]","[""find the bakery"", ""buy the cookies"", ""none""]","[""happy"", ""helpful""]","[""to make Grandma happy"", ""to give some more cookies to eat"", ""to make them feel special"", ""to do a good dead""]","[""gives"", ""grandmother""]",trn
PersonX gives ___ to PersonX's mom,"[""gets flowers"", ""beams with pride""]","[""happy."", ""overjoyed at the prospect of a tropical getaway.""]","[""to tell PersonX things about PersonY"", ""to let PersonY go with PersonX"", ""to thank PersonX"", ""to accept it"", ""to be thankful"", ""to show gratitude"", ""to enjoy new item""]","[""loving"", ""thoughtful"", ""generous"", ""helpful"", ""generous"", ""thoughtful"", ""generous"", ""loving""]","[""gets a hug"", ""receives thanks""]","[""to make her mother happy by giving her flowers."", ""their mom to enjoy a nice vacation with plane tickets to hawaii.""]","[""to go to the store"", ""to ask PersonY what mom likes"", ""to have been invited by PersonY's mom"", ""none"", ""an item"", ""a generous personality""]","[""good."", ""like a good son.""]","[""to hug PersonY's mom"", ""to ask PersonY's mom if they can marry PersonY"", ""to do something nice"", ""to give a gift"", ""to make another happy"", ""to be seen as generous""]","[""gives"", ""mom""]",trn
PersonX gives ___ to PersonX's mother,"[""none"", ""gives thanks"", ""returns affection""]","[""surprised by the nice gesture"", ""grateful""]","[""to thank person X"", ""to smell the flowers"", ""to open the gift"", ""to say thank you""]","[""kind"", ""caring"", ""generous"", ""thoughtful"", ""lovable"", ""caring""]","[""Birthday Cake"", ""chocolate"", ""receive thanks"", ""receive affection""]","[""to do something nice for their mother"", ""to share something with mom""]","[""to pick flowers"", ""to find a vase"", ""to buy the gift"", ""to wrap it up""]","[""happy they did something nice"", ""generous""]","[""to find a place for the flowers"", ""to hug Mother"", ""to watch them open it"", ""to ask if they like it""]","[""gives"", ""mother""]",trn
PersonX gives ___ to PersonX's parents,"[""says thanks"", ""asks questions"", ""none"", ""they tell them they did well"", ""they help them even more""]","[""none"", ""grateful"", ""thankful for the gift"", ""surprised""]","[""To make the right choice"", ""To explain htier choice to X"", ""to thank PersonX for the giving"", ""to reciprocate the giving"", ""to check the report card"", ""to talk to PersonX"", ""to look at what they were given""]","[""helpful"", ""generous"", ""Thinking"", ""Eager"", ""helpful"", ""kind""]","[""asks for opinions"", ""hands it over"", ""PersonX is appreciated"", ""PersonX gets a thank you"", ""they get listened to"", ""they learn what they think""]","[""to show her parents the slip"", ""to share"", ""their parents approval"", ""to make their parents happy""]","[""To explain what they are giving"", ""To find their parents"", ""to have something to give to their parents"", ""to want to give something to their parents"", ""to go to PersonX"", ""to explain what is going on""]","[""scared"", ""generous"", ""pleased with the outcome""]","[""To be able to attend"", ""To convince the parents"", ""to get thanks for giving"", ""to give more to their parents"", ""to find out what else their parents want"", ""to run away and hide"", ""to promise parents they will work hard"", ""to take Parents on a trip""]","[""gives"", ""parents""]",trn
PersonX gives ___ to PersonX's son,"[""none"", ""none""]","[""grateful."", ""grateful""]","[""be a great dad"", ""smokes a cigar"", ""to accept information"", ""to interact"", ""to thank PersonX"", ""to understand how to use it""]","[""generous"", ""nice"", ""giving"", ""charitable""]","[""is given praise"", ""is given a gift in return"", ""none""]","[""her son to have the sandwich for lunch."", ""to share with the son""]","[""gets pregnant"", ""goes to birthing classes"", ""something to give"", ""someone to give to"", ""to find it"", ""to get it"", ""to bring it to their son""]","[""good."", ""generous""]","[""be a great mom"", ""rest"", ""have a relationship"", ""to share information"", ""to see how their son likes it"", ""to show their son how to use it""]","[""gives"", ""son""]",trn
PersonX gives ___ to PersonY's brother,"[""the other person recieves a gift"", ""the other person now has something new"", ""gains the possession of person X."", ""obtains new item.""]","[""thankful"", ""frightened about what it might be"", ""grateful for a gift"", ""that they want to reciprocate""]","[""to meet him"", ""have friendship"", ""to learn more"", ""to get more guidance""]","[""loving"", ""kind"", ""unselfish"", ""generous"", ""helpful"", ""charitable"", ""giving"", ""nice"", ""caring""]","[""none"", ""loses a possession."", ""gives a possession away.""]","[""to share"", ""to be generous"", ""to give persony's brother something to scare him"", ""to help persony's brother with a project""]","[""to find PersonY's brother"", ""to know PersonY's brother"", ""a plan"", ""an idea"", ""none""]","[""giving"", ""vindicated"", ""happy to be generous"", ""important""]","[""have friendship"", ""to talk with him"", ""to teach"", ""to guide""]","[""gives"", ""brother""]",trn
PersonX gives ___ to PersonY's friend,"[""Gains possession"", ""Experiences sensation of being cared about"", ""eyes tear up"", ""smile""]","[""thankful"", ""none"", ""acknowledged."", ""beloved.""]","[""to receive item"", ""to show generosity"", ""to pay them back"", ""to thank them"", ""to thank personx"", ""to tell persony how grateful they are of personx""]","[""generous"", ""kind"", ""knowledgable"", ""helpful"", ""helpful"", ""generous"", ""Generous"", ""Helpful"", ""Friendly""]","[""Thinks of self as useful or helpful"", ""Gets warm, fuzzy feeling"", ""is thanked"", ""gets a reputation as a nice person""]","[""to return something"", ""to feel good about himself"", ""to be a caring person."", ""to make someone happy.""]","[""a gift to give"", ""someone to give to"", ""jewelry"", ""money"", ""to have something they are willing to give away"", ""to want to give something away""]","[""relieved"", ""great because he was able to help person y's friend"", ""caring.""]","[""to be generous"", ""for recipient to be pleased"", ""it back"", ""to be paid back"", ""to be helpful"", ""to help persony's friend""]","[""gives"", ""friend""]",dev
PersonX gives ___ to PersonY's friends,"[""none""]","[""thankful"", ""grateful"", ""in the know"", ""better""]","[""thank PersonX for what they were given"", ""talk to PersonX to become better friends."", ""none"", ""to say thank you"", ""to reciprocate""]","[""generous"", ""giving"", ""generous"", ""helpful"", ""Considerate"", ""Giving""]","[""they blush"", ""they cry""]","[""to be kind"", ""to give something nice to a friend"", ""to be informative""]","[""obtain something or someone to give away"", ""find PersonY's friends to give them the object"", ""none"", ""to meet with the friends"", ""to buy something for the friends""]","[""generous"", ""generous"", ""useful""]","[""receive thanks for what they have given."", ""talk to PersonY's friends"", ""to give more things"", ""to part ways""]","[""gives"", ""friends""]",trn
PersonX gives ___ to PersonY's grandmother,"[""Person Y's grandmother greets person X back"", ""Person Y's grandmother closes the door after him."", ""none"", ""gains a friend"", ""new responsibilities""]","[""grateful"", ""happy"", ""loved""]","[""to thank him"", ""to appreciate him"", ""to thank person X"", ""to commend person X to others"", ""eats a snack"", ""feeds a dog""]","[""Giver"", ""Righteous"", ""caring"", ""thoughtful"", ""generous"", ""giving""]","[""wishes Person Y's grandmother good night"", ""comes back home"", ""PersonX receives a hug"", ""PersonX gets a thank you note"", ""gets thanked"", ""gets a hug""]","[""to be generous"", ""to give grandma some cookies"", ""to make their grandmother happy""]","[""to bake them"", ""to pack them up"", ""to ask person Y what his grandmother likes"", ""to shop for a present for person Y'x grandmother"", ""bakes cookies"", ""went to the pet store""]","[""like a good person"", ""like a chef"", ""generous"", ""caring""]","[""them to taste it"", ""to leave the place"", ""to visit briefly with person Y's grandmother"", ""to tell person Y about the gift"", ""brighten up their day"", ""make them smile""]","[""gives"", ""grandmother""]",trn
PersonX gives ___ to PersonY's mom,"[""they are made whole"", ""they have recovered from loss"", ""Person Y is grateful"", ""Person Y gets a new car"", ""puts gift in special place"", ""looks at gift"", ""thanks person x""]","[""none"", ""grateful.""]","[""to hug PersonX"", ""to make PersonX some coffee"", ""to thank personX"", ""to ask what it's for""]","[""giving"", ""caring"", ""generous"", ""friendly"", ""thoughtful"", ""considerate""]","[""no longer indebted"", ""has less money or goods"", ""none"", ""none""]","[""to show off his new tattoo"", ""to be nice.""]","[""to go to PersonY's mom"", ""to greet PersonY's mom with a smile"", ""bring the items to give"", ""contact personY's mom""]","[""proud"", ""good.""]","[""to hug PersonY's mom"", ""to go out with PersonY"", ""to help PersonY's mom in the kitchen"", ""talk to the mom"", ""explain the mom what it's for""]","[""gives"", ""mom""]",trn
PersonX gives ___ to PersonY's mother,"[""none"", ""become grateful to PersonX"", ""smiles with joy""]","[""happy."", ""grateful"", ""grateful"", ""appreciated""]","[""thank PersonX"", ""talk to PersonX""]","[""caring"", ""compassionate"", ""caring"", ""respectful"", ""kind"", ""appreciative"", ""generous"", ""kind""]","[""PersonX surprises PersonY's mother"", ""PersonX delights PersonY's mother"", ""is thanked"", ""is slapped""]","[""to make her mom happy by giving her favorite bouquet ,"", ""to be generous"", ""to show love""]","[""get something"", ""meet PersonY's mother""]","[""good."", ""generous"", ""happy"", ""included""]","[""talk to PersonY's mother"", ""get to know her""]","[""gives"", ""mother""]",trn
PersonX gives ___ to PersonY's parents,"[""receives gift"", ""gives thanks"", ""throws it away"", ""keeps it""]","[""gratitude"", ""warm"", ""thankful"", ""approving"", ""interested in the present"", ""grateful for receiving it"", ""bonded to personx""]","[""parents thank person x"", ""person y gives extra to person x in future"", ""to thank him"", ""to express their gratitude"", ""to try it out"", ""sit down""]","[""generous"", ""thoughtful"", ""gracious"", ""kind""]","[""receive thanks"", ""gets something in return"", ""gets scolded""]","[""thoughtful"", ""courteous"", ""they want to be nice"", ""they want their parents to like them"", ""to feel closer to persony's parents"", ""to reciprocate another gift"", ""to thank persony's parents""]","[""find out what to give to person y parents"", ""ask person x if can give/what they need"", ""to meet them"", ""to invite them to his home"", ""prepare"", ""drive""]","[""happy"", ""acceptee"", ""generous"", ""happy"", ""nervous"", ""appreciated"", ""loved"", ""equal to persony's parents""]","[""talk to person x parents"", ""ask if need other help"", ""to leave them"", ""to explain about the award"", ""to sit down"", ""relax""]","[""gives"", ""parents""]",trn
PersonX gives ___ to PersonY's son,"[""gets a new item"", ""is able to do more things"", ""none"", ""says thank you to PersonX"", ""repays PersonX""]","[""happy."", ""grateful""]","[""to eat lunch"", ""to say thank you"", ""none"", ""to sit at the table"", ""to eat lunch""]","[""stupid"", ""careless"", ""supportive"", ""helpful"", ""helpful"", ""kind""]","[""none"", ""none"", ""tells PersonY"", ""cleans up""]","[""her son to have fun by giving him a ball."", ""to be generous""]","[""for them to be over"", ""to make the sandwich"", ""to be knowing Y"", ""to have a son"", ""to make a sandwich"", ""to buy ingredients""]","[""good."", ""giving""]","[""to give one to their kid"", ""to eat one themself"", ""to educate his son"", ""to take them to playschool"", ""to see person y's son's expression"", ""to give him milk too""]","[""gives"", ""son""]",trn
PersonX gives ___ to a baby girl,"[""none""]","[""none"", ""happy"", ""like they just came into the world""]","[""to cry."", ""to hug their wife."", ""to cry"", ""to poop"", ""to nurse"", ""give thanks"", ""return the favor""]","[""kind"", ""adoring"", ""caring"", ""loving"", ""fertile"", ""lucky""]","[""Cries"", ""Screams""]","[""a baby"", ""to make a baby girl happy"", ""to have a kid""]","[""to have sex."", ""to get pregnant."", ""to get pregnant"", ""to meet a father"", ""have something to give"", ""make arrangements to give the item""]","[""great"", ""happy"", ""meaning in their life""]","[""to take the baby girl home."", ""to hold the baby."", ""to sleep"", ""to bond with her daughter"", ""have the favor returned"", ""be thanked""]","[""gives"", ""baby""]",trn
PersonX gives ___ to a friend,"[""look out window"", ""say thanks"", ""interacts with PersonX"", ""feels grateful"", ""gains something new"", ""changes his life""]","[""like they will make good use out of it"", ""grateful"", ""recognized""]","[""to be grateful to Person X."", ""to give Person X something."", ""to play with the cat"", ""give some food to the cat"", ""to go to class"", ""to learn about the item"", ""use the item""]","[""giving"", ""caring"", ""thoughtful"", ""considerate""]","[""drives away"", ""makes small talk"", ""gets thanked"", ""interacts with friend"", ""none""]","[""them to be able to use it now"", ""to share"", ""to share his good fortune""]","[""to have a friend."", ""to have something to give."", ""to drive over to the friends house"", ""to pick up the friend from school"", ""to put the cat in a carrier"", ""get ready"", ""tell the friend about the coupon""]","[""like they enjoyed not their friend can"", ""giving"", ""generous""]","[""to make their friend happy."", ""their friend to like what was given."", ""to visit the cat"", ""to go home"", ""to go out to eat"", ""explain the coupon"", ""make sure they use it""]","[""gives"", ""friend""]",dev
PersonX gives ___ to a son,"[""start to breathe"", ""they get cleaned off"", ""The son closes their eyes from pain from the light"", ""The son cries"", ""none""]","[""happy"", ""good""]","[""to thank PersonX"", ""to return the item"", ""none"", ""none""]","[""responsible"", ""generous"", ""enthusiastic"", ""responsible"", ""happy"", ""overjoyed"", ""anxious""]","[""they get stitches"", ""they fall asleep"", ""PersonX screams in pain"", ""PersonX cries in pain"", ""cries"", ""smiles""]","[""to make his family bigger"", ""have a child"", ""to reproduce""]","[""to approach the son"", ""to buy something"", ""to have a couple"", ""to go to a medical center"", ""to be pregnant"", ""to go into labor""]","[""contented and happy"", ""good""]","[""to see if the son likes something"", ""to give the son more things"", ""to have a family"", ""to be a father"", ""to have a healthy baby"", ""to be a good mother""]","[""gives"", ""son""]",trn
PersonX gives ___ to charity,"[""Benefits"", ""Tries harder to better situation"", ""has resources to help"", ""wants to thank personX"", ""none""]","[""thankful"", ""indebted."", ""grateful""]","[""to thank PersonX"", ""to use the money for a cause"", ""to offer thanks"", ""utilize the donation"", ""to use the money well"", ""to thank personX"", ""use the money to buy needed goods"", ""find another charitable contributor""]","[""generous"", ""giving"", ""kind"", ""giving"", ""charitable"", ""modest""]","[""Loses assets"", ""Works harder to make up for it"", ""hopes it helps"", ""is thanked for it"", ""personX loses possessions"", ""personX gains tax writeoffs.""]","[""give to a good cause"", ""to be charitable."", ""to be generous."", ""to be a good person"", ""to help people""]","[""to make money"", ""to learn about a charity"", ""have something to give"", ""decide which charity to give it to"", ""to have the money"", ""to think it could do some good"", ""select a trustworthy charity"", ""have money to spare""]","[""proud"", ""equitable."", ""like a good person."", ""good about themselves"", ""kind""]","[""to donate to other charities"", ""to volunteer time"", ""help"", ""give support"", ""for the money to be used wisely"", ""to for people to be helped"", ""give to a different charity"", ""receive some recognition""]","[""gives"", ""charity""]",trn
PersonX gives ___ to goodwill,"[""none"", ""sort through person x's stuff"", ""Tag person X's items"", ""none""]","[""like there well fair is being contributed to"", ""grateful to get help"", ""grateful""]","[""none"", ""none"", ""none""]","[""charitable"", ""giving"", ""charitable"", ""helpful""]","[""gets a tax writeoff"", ""has more closet space"", ""recieves a receipt"", ""feels satisfaction"", ""PersonX receives a tax deduction"", ""PersonX is thanked""]","[""people to get good use of of them"", ""to help him"", ""to be a good person"", ""to help people""]","[""to go through their things"", ""to see what they need"", ""to clean their closet"", ""to have a lot of things they don't need"", ""car"", ""a box""]","[""like he is helping others"", ""contented with himself"", ""good about themselves"", ""proud""]","[""to organize the house"", ""to keep only what they need"", ""to get a receipt"", ""to buy some things from goodwill"", ""to go home"", ""get something to eat""]","[""gives"", ""goodwill""]",trn
PersonX gives ___ to life,"[""none"", ""none""]","[""none""]","[""none"", ""to thank PersonX for being so kind"", ""to ask if PersonX needs anything of them""]","[""significant"", ""unique"", ""Out going"", ""Extroverted"", ""Creative"", ""Eclectic""]","[""none"", ""Meditates"", ""Seeks Wisdom""]","[""to improve life""]","[""none"", ""none""]","[""excited"", ""proud""]","[""to enjoy life and live it fully"", ""to teach people how to change their lives"", ""to help other people in the world"", ""to make the world a better place""]","[""gives"", ""life""]",trn
PersonX gives ___ to my friend,"[""smiles"", ""receives"", ""learns"", ""none"", ""smiles"", ""able to do something new""]","[""thankful"", ""happy"", ""grateful""]","[""to be fine"", ""to watch PersonX leave"", ""their posession back"", ""to show appreciation"", ""to say thanks"", ""to part ways""]","[""kind"", ""friendly"", ""sharing"", ""compassionate""]","[""loses something"", ""shares"", ""gets a hug"", ""is offered money"", ""is thanked"", ""gets a hug""]","[""to take her home"", ""to help someone"", ""to be helpful""]","[""to find their friend"", ""to go up to their friend"", ""none"", ""to buy something"", ""to approach the friend""]","[""kind"", ""generous"", ""happy"", ""helpful""]","[""to make sure your friend is fine"", ""to get back to what they were doing"", ""to be helpful"", ""to return to rightful owner"", ""to see if the friend likes it"", ""to spend time together""]","[""gives"", ""friend""]",dev
